AccessionNumber,SpecimenType,FilingNumber,SpecimenSecurityLevel,SpecimenSecurityLevelText,Deaccessioned,IsMissing,LoanStatus,Quantity,CreatedBy,CreatedDate,UpdatedBy,UpdatedDate,TypeStatus,VerbatimName,TaxonName,CurrentName,SourceNameId,VerbatimDeterminer,StandardDeterminer,DeterminersRefNumber,Phylum,SubPhylum,Class,SubClass,Order,Family,PartAffected,Substrate,BiostatusDescription,OccurrenceDescription,VerbatimTaxonName_C2,TaxonName_C2,Vernacular_C2,HostId,Family_C2,PartAffected_C2,Substrate_C2,CollectionEventCode,CollectionEventMethod,CollectionEventContext,VerbatimCollector,StandardCollector,CollectionDateISO,CollectorsRefNumber,VerbatimCountry,Country,NZAreaCode,StandardLocality,VerbatimLocality,GeodeticDatum,MapSheet,Easting,Northing,DecimalLat,DecimalLong,Altitude,AltitudeInMeters,MicroHabitat,Habitat,CollectionEventNotes,IsolationDateISO,DepositedDateISO,DepositorName,DepositorRefNumber,GenBank,Literature,Images
ICMP 593,Bacterial Culture,Xanthomonadaceae,40,Public,FALSE,FALSE,NA,NA,Migration,25/01/2002 9:24:09 am,LANDCARE\wilsonj,19/04/2018 3:52:03 pm,NA,Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939,Xanthomonas campestris pv. campestris (Pammel 1895) Dowson,Xanthomonas campestris pv. campestris (Pammel 1895) Dowson,7A340EEC-10CE-4CA1-A7A1-561A65C970F3,NA,NA,NA,Pseudomonadota Garrity et al.,NA,Gammaproteobacteria Garrity et al.,NA,Lysobacterales Christensen and Cook,Lysobacteraceae Christensen and Cook,leaf vein,NA,NA,Present,Brassica rapa L. subsp. sylvestris (L.) Janchen,Brassica rapa subsp. sylvestris,wild turnip,BD4F7AB8-F812-47F1-AA5F-324EC8602DFF,Cruciferae,leaf vein,NA,NA,NA,Field,D.A. Shackleton,"Shackleton, DA",1962-07,NA,New Zealand,New Zealand,Auckland,Auckland,Auckland,NA,NA,NA,NA,-36.840556,174.74,NA,NA,NA,NA,NA,1962-07-01,1985-09-01,D.W. Dye,Q27,FALSE,FALSE,FALSE
ICMP 594,Bacterial Culture,Xanthomonadaceae,40,Public,FALSE,FALSE,NA,1,Migration,25/01/2002 9:24:09 am,LANDCARE\LeeD,17/08/2020 12:47:16 pm,NA,Xanthomonas campestris pv. citri (Hasse 1915) Dye 1978,Xanthomonas campestris pv. citri (Hasse 1915) Dye,Xanthomonas citri pv. citri (Hasse 1915) Constantin et al.,5AFC580F-3FA1-4638-95D2-DBEAA368B85A,NA,NA,NA,Pseudomonadota Garrity et al.,NA,Gammaproteobacteria Garrity et al.,NA,Lysobacterales Christensen and Cook,Lysobacteraceae Christensen and Cook,fruit,NA,Exotic,Eradicated,Citrus sp.,Citrus,NA,CFDB247B-CCB3-4C3B-B852-297304B78310,Rutaceae,fruit,NA,NA,NA,Field,D.A. Shackleton,"Shackleton, DA",1962-12,NA,Japan,Japan,NA,NA,[Unknown],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962-12-01,1963-01-01,D.W. Dye,R16,FALSE,FALSE,FALSE
ICMP 607,Bacterial Culture,Xanthomonadaceae,40,Public,FALSE,FALSE,NA,1,Migration,25/01/2002 9:24:09 am,LANDCARE\LeeD,17/08/2020 12:47:55 pm,NA,Xanthomonas campestris pv. citri (Hasse 1915) Dye 1978,Xanthomonas campestris pv. citri (Hasse 1915) Dye,Xanthomonas citri pv. citri (Hasse 1915) Constantin et al.,5AFC580F-3FA1-4638-95D2-DBEAA368B85A,NA,NA,NA,Pseudomonadota Garrity et al.,NA,Gammaproteobacteria Garrity et al.,NA,Lysobacterales Christensen and Cook,Lysobacteraceae Christensen and Cook,fruit,NA,Exotic,Eradicated,Citrus sp.,Citrus,NA,CFDB247B-CCB3-4C3B-B852-297304B78310,Rutaceae,fruit,NA,NA,NA,Field,D.A. Shackleton,"Shackleton, DA",1962-12,NA,Japan,Japan,NA,NA,[Unknown],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962-12-01,1985-09-01,D.W. Dye,R17,FALSE,FALSE,FALSE
ICMP 608,Bacterial Culture,Xanthomonadaceae,40,Public,FALSE,FALSE,NA,NA,Migration,25/01/2002 9:24:09 am,LANDCARE\LeeD,17/08/2020 12:48:28 pm,NA,Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978,Xanthomonas campestris pv. pruni (Smith 1903) Dye,Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al.,06AF8B3E-E455-4A0F-8E9A-5850DD751752,NA,NA,NA,Pseudomonadota Garrity et al.,NA,Gammaproteobacteria Garrity et al.,NA,Lysobacterales Christensen and Cook,Lysobacteraceae Christensen and Cook,canker,NA,Exotic,Present,Prunus avium (L.) L.,Prunus avium,cherry cv. Bing,F9D06EE7-5ADF-4397-84B8-E6BA8783308E,Rosaceae,canker,NA,NA,NA,Field,D.W. Dye,"Dye, DW",1962-07,NA,New Zealand,New Zealand,Auckland,Mount Albert,Mt Albert,NA,NA,NA,NA,-36.884,174.716,NA,NA,NA,NA,NA,1962-07-01,1985-09-01,D.W. Dye,T19,FALSE,FALSE,TRUE
ICMP 609,Bacterial Culture,Xanthomonadaceae,40,Public,FALSE,FALSE,NA,NA,Migration,25/01/2002 9:24:09 am,LANDCARE\LeeD,17/08/2020 12:50:53 pm,NA,Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978,Xanthomonas campestris pv. pruni (Smith 1903) Dye,Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al.,06AF8B3E-E455-4A0F-8E9A-5850DD751752,NA,NA,NA,Pseudomonadota Garrity et al.,NA,Gammaproteobacteria Garrity et al.,NA,Lysobacterales Christensen and Cook,Lysobacteraceae Christensen and Cook,canker,NA,Exotic,Present,Prunus avium (L.) L.,Prunus avium,cherry cv. Napoleon,F9D06EE7-5ADF-4397-84B8-E6BA8783308E,Rosaceae,canker,NA,NA,NA,Field,D.W. Dye,"Dye, DW",1962-07,NA,New Zealand,New Zealand,Auckland,Mount Albert,Mt Albert,NA,NA,NA,NA,-36.884,174.716,NA,NA,NA,NA,NA,1962-07-01,1986-03-01,D.W. Dye,T20,FALSE,FALSE,TRUE
ICMP 610,Bacterial Culture,Xanthomonadaceae,40,Public,FALSE,FALSE,NA,NA,Migration,25/01/2002 9:24:09 am,LANDCARE\LeeD,17/08/2020 12:51:41 pm,NA,Xanthomonas campestris pv. pruni (Smith 1903) Dye 1978,Xanthomonas campestris pv. pruni (Smith 1903) Dye,Xanthomonas arboricola pv. pruni (Smith 1903) Vauterin et al.,06AF8B3E-E455-4A0F-8E9A-5850DD751752,NA,NA,NA,Pseudomonadota Garrity et al.,NA,Gammaproteobacteria Garrity et al.,NA,Lysobacterales Christensen and Cook,Lysobacteraceae Christensen and Cook,canker,NA,Exotic,Present,Prunus avium (L.) L.,Prunus avium,cherry cv. Van,F9D06EE7-5ADF-4397-84B8-E6BA8783308E,Rosaceae,canker,NA,NA,NA,Field,D.W. Dye,"Dye, DW",1962-07,NA,New Zealand,New Zealand,Auckland,Mount Albert,Mt Albert,NA,NA,NA,NA,-36.884,174.716,NA,NA,NA,NA,NA,1962-07-01,1985-12-01,D.W. Dye,T21,FALSE,FALSE,TRUE
